凤梨,"[2.03, 4.97, 4.04, 4.25, 4.25, 4.24, 1.46, 1.46, 1.46, 5.84, 1.39, 1.42, 1.42, 1.42, 1.42, 4.58, 5.01, 2.01, 2.01, 2.01, 5.06, 2.01, 1.42, 1.42, 1.42, 1.42, 1.42, 4.98, 2.51, 4.46, 4.62]"
山竹,"[19.78, 19.19, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 9.9, 18.23, 19.44, 20.54, 14.67, 15.71, 15.59, 14.9, 15.02, 15.94, 19.1, 19.56, 10, 10, 10, 10, 10, 10, 10, 10, 23.47, 20.58]"
菠萝,"[3.65, 3.64, 3.65, 4.59, 4.63, 4.8, 5.9, 4.2, 3.9, 4.39, 3.84, 4.91, 6.52, 5.28, 5.16, 5.72, 7.14, 8.82, 7.69, 7.98, 7.62, 4.86, 7.29, 6.83, 10.11, 10.67, 11.53, 12.88, 9.78, 11.18, 5.26]"
枇杷,"[6.75, 8, 7, 7, 5.63, 4.75, 22, 5.63, 5.63, 5.63, 8, 10, 5.63, 18.33, 15.42, 15.55, 15.42, 12.22, 15, 15, 15, 29, 1, 22, 22, 1, 29, 1, 15, 1, 8.88]"
木瓜,"[0.81, 0.85, 0.85, 0.99, 4.2, 0.99, 0.94, 0.95, 0.95, 0.95, 0.97, 0.97, 0.97, 0.78, 3.46, 2.39, 3.51, 0.78, 3.51, 3.46, 3.46, 3.46, 2.46, 4.19, 4.19, 0.85, 0.83, 0.83, 0.9, 0.85, 0.81]"
榴莲,"[60.08, 58.93, 59.33, 56.94, 53.55, 56.94, 56.94, 60.63, 60.63, 57.21, 51.04, 51.28, 51.04, 48.94, 48.83, 55.47, 55.66, 55.68, 55.14, 51.81, 56.61, 51.25, 54.9, 55.95, 56.51, 54.82, 56.17, 52.61, 47.81, 48.87, 51.7]"
柚子,"[0.85, 0.85, 0.85, 0.85, 6, 6, 0.85, 0.85, 0.85, 2.2, 0.85, 0.83, 5.75, 0.83, 0.83, 0.85, 0.85, 0.85, 0.85, 0.85, 0.98, 0.83, 0.83, 0.92, 2.2, 6, 6, 6, 1.1, 0.98, 0.85]"
柠檬,"[3.23, 3.34, 3.84, 3.78, 3.93, 11.17, 3.37, 2.43, 2.43, 2.43, 2.43, 2.43, 2.43, 2.43, 2.43, 2.43, 2.43, 3.03, 3.03, 3.03, 3.03, 2.43, 3.03, 7.95, 7.95, 7.95, 10.12, 10.12, 17.8, 10.12, 2.43]"
香蕉,"[3.19, 3.19, 3.19, 3.19, 0.85, 0.85, 0.7, 1, 4.43, 4.43, 4.43, 4.43, 4.43, 2.44, 2.13, 1.63, 1.45, 1.55, 1.64, 1.6, 1.69, 1.57, 1.6, 1.54, 1.36, 1.8, 2.07, 2.18, 2.3, 2.06, 2.14]"
菠萝蜜,"[1.71, 1.72, 1.72, 1.68, 1.65, 1.74, 1.83, 1.86, 1.78, 1.69, 1.7, 1.72, 1.71, 1.72, 1.7, 1.64, 1.63, 1.74, 1.78, 1.75, 1.76, 1.72, 1.73, 1.72, 1.71, 1.7, 1.71, 1.72, 3.91, 1.73, 1.74]"
火龙果,"[10.51, 10.51, 10.51, 19.22, 19.22, 10.81, 10.81, 10.81, 10.81, 10.81, 10.81, 10.81, 10.81, 10.81, 10.81, 19.22, 10.11, 1.7, 1.7, 1.7, 2.4, 2.4, 18.89, 10.3, 7.91, 6.94, 6.94, 8.21, 2.45, 8.25, 8.25]"
山楂,"[4.02, 4.06, 4.08, 4.05, 4.21, 4.37, 4.32, 4.32, 2.9, 3.09, 3.13, 4.03, 4.17, 2.8, 4.16, 4.16, 4.16, 2.73, 2.68, 2.55, 2.55, 2.54, 2.39, 2.39, 2.72, 4.04, 4.04, 4.05, 2.82, 4.13, 4.15]"
蟠桃,"[2.35, 2.35, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 6.5, 2.74, 3.27, 2.8, 2.8, 2.65, 1.98, 2.5, 2.46, 2.66, 2.85, 2.67, 1.89, 1.87, 1.89, 2.22, 1.95, 1.95]"
石榴,"[3.88, 3.88, 1.5, 3.55, 30.27, 8, 60, 60, 60, 60, 60, 60, 60, 31.5, 12.31, 12.33, 12.41, 10.34, 1.5, 12.42, 1.03, 11.73, 1.03, 10.34, 1.5, 26.89, 26.89, 60, 60, 60, 60]"
杨梅,"[10.2, 11.38, 11.68, 14.29, 15.57, 13.87, 13.98, 16.67, 17.36, 19.15, 21.2, 21.5, 18.49, 19.38, 17.16, 15.41, 15.6, 16.65, 17.22, 17, 15.4, 16.98, 15.95, 16.52, 16.01, 16.02, 14.7, 13.51, 12.64, 14.51, 14.56]"
鲜枣,"[26, 1.5, 26, 16.25, 3.33, 3.33, 16.25, 26, 3.33, 2.67, 2.67, 2.67, 3.33, 2.67, 2.67, 2.67, 1.2, 2.67, 2, 2, 2, 6.5, 3.33, 7, 8.33, 8.33, 8.33, 2, 2, 9.67, 8.33]"
杏,"[3.47, 3.24, 3, 2.76, 2.43, 2.23, 2.51, 2.66, 2.52, 5.28, 5.28, 1.29, 1.48, 1.51, 1.3, 1.41, 1.42, 1.53, 1.38, 1.28, 1.32, 1.47, 1.52, 1.52, 1.47, 1.39, 1.75, 2.02, 1.31, 1.43, 1.47]"
樱桃,"[10, 10, 10, 6, 6, 6, 7.17, 8.33, 8.33, 8.46, 6, 8.33, 7.5, 7.5, 6.1, 6.1, 5.96, 5.96, 5.96, 5, 4.71, 4.71, 4.71, 4.71, 5, 4.71, 4.71, 4.71, 4.71, 4.71, 4.71]"
苹果,"[1.6, 1.8, 1.5, 2, 1.5, 1.5, 1.5, 1.5, 1.72, 1.5, 1.5, 1.5, 3.25, 6.66, 6.66, 8, 4.75, 2, 2, 2, 2, 8.66, 8.66, 2, 2.25, 2.25, 2.25, 8.66, 8.66, 5.08, 1.8]"
油桃,"[1.62, 1.65, 1.29, 1.28, 1.19, 1.24, 1.22, 1.26, 1.1, 1.1, 1.16, 1.17, 1.12, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 0.95, 0.95, 0.95, 1.1, 0.86, 0.86, 0.86, 0.62, 0.62, 0.86, 0.86]"
李子,"[1, 16.38, 2.9, 9.59, 9.59, 3, 8, 2.03, 3, 2.5, 3.25, 2.31, 3.25, 3.25, 10.5, 5.11, 5, 5, 5, 5, 3.4, 3.4, 16.25, 16.25, 16.25, 16.25, 4.25, 4.25, 18, 8.83, 8.83]"
黄桃,"[2, 4.28, 4.19, 4.01, 1.64, 1.64, 1.65, 1.21, 1.46, 1.46, 1.5, 1.32, 1.31, 1.53, 1.48, 1.55, 1.5, 4.35, 1.29, 1.58, 1.67, 1.93, 1.89, 1.62, 1.6, 1.61, 1.43, 1.52, 2.09, 1.75, 1.3]"
脆瓜,"[4.93, 5.14, 4.92, 5.04, 4.79, 7.79, 5, 8.04, 4.99, 5.71, 5.35, 6.52, 6.14, 6.29, 6.17, 5.65, 5.99, 5.44, 5.84, 4.46, 4.54, 3.96, 3.84, 3.97, 3.98, 3.91, 4.3, 4.52, 1.63, 4.18, 4.21]"
刺角瓜,"[9.25, 9.25, 10.81, 10.81, 11.42, 11.42, 11.42, 11.42, 11.42, 11.42, 11.42, 11.42, 10.81, 10.81, 9.25, 9.25, 9.25, 9.31, 11.42, 7.63, 7.75, 6.92, 10.95, 10.95, 11.45, 11.45, 10.56, 10.56, 12.13, 10.56, 10.56]"
水蜜桃,"[4.93, 4.93, 13, 2.25, 0.8, 5.97, 0.8, 5.97, 2.86, 1.5, 7, 4.75, 5.97, 5.76, 5.76, 5.55, 3.5, 2.5, 2.5, 13, 1.5, 2.34, 2.74, 3, 2.43, 2.28, 6.25, 5.67, 1.76, 2.17, 3.17]"
哈密瓜,"[3, 3, 1.7, 1, 1, 1, 1.5, 1.3, 5, 3, 2.63, 3, 2.07, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1.01, 1.01, 1.15, 1.15, 0.9]"
人参果,"[4.51, 5.12, 5.44, 5.44, 4.62, 4.59, 4.86, 4.78, 4.76, 4.76, 4.49, 4.49, 4.49, 9.86, 9.88, 9.42, 9.71, 10.19, 10.51, 9.91, 10.12, 10.35, 10.37, 11.9, 11.99, 11.72, 13.38, 10.7, 6.7, 10.71, 9.31]"
梨,"[3.25, 0.7, 1, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 1.3, 0.7, 0.7, 1.5, 1.5, 1.5, 4.63, 1.45, 1.45, 1.45, 1.45, 3.42, 1.16, 2.13, 2.13, 2.13, 1.5, 3.78, 3.78, 3.78, 3.78, 0.82]"
毛桃,"[1.5, 1.5, 1.91, 2.2, 4.5, 4.3, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 3.3, 2.53, 2.53, 2.31, 2.31, 1.38, 1.38, 1.6, 2.18, 2.78, 3.6, 3.6, 3.6, 2.8, 1.03, 1.83, 2]"
甜瓜,"[1.26, 1.26, 1.26, 1.06, 1.18, 1.18, 1.18, 1.18, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.86, 0.99, 0.99, 0.99, 0.99, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]"
